Policy,Utility,Lower Bound,Upper Bound
"(0, 1, 3, -1, 1, nan, 3, -1, 0, 0, 2, 2)","[-0.04, -0.071968, -0.0975168256, 1.0, -0.043996, 0.0, -0.04, -1.0, -0.04, -0.04, -0.075964, -0.1399]",2.5285676471547087,3.084504129298655
"(0, 1, 3, -1, 0, nan, 0, -1, 0, 0, 0, 2)","[-0.04, -0.071968, -0.04, 1.0, -0.043996, 0.0, -0.043996, -1.0, -0.07516160320000001, -0.04750864415968, -0.04474611355155203, -0.04447013674380005]",1.5450593388597333,1.9629717548171208
"(0, 3, 2, -1, 1, nan, 1, -1, 1, 1, 3, 0)","[-0.04, -0.071968, -0.04, 1.0, -0.071968, 0.0, -0.071968, -1.0, -0.0975168256, -0.04974193087744, -0.10248604449465626, -0.05023835584501616]",0.923398232596085,1.1117506038156229
"(2, 3, 0, -1, 2, nan, 0, -1, 3, 0, 0, 3)","[-0.04, -0.04, -0.043996, 1.0, -0.043996, 0.0, -0.0443952004, -1.0, -0.0443952004, -0.07548064415968, -0.04443508051996, -0.8436390645439441]",1.0626351676279049,1.14367150313366
"(1, 2, 2, -1, 0, nan, 3, -1, 3, 2, 0, 2)","[-0.04, -0.04, -0.043996, 1.0, -0.04, 0.0, -0.07516160320000001, -1.0, -0.043996, -0.0443952004, -0.10450423379740001, -0.1399]",1.2392163212544578,1.9945402958198808
"(3, 0, 1, -1, 2, nan, 3, -1, 1, 1, 1, 1)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.071968, 0.0, -0.04443508051996, -1.0, -0.0471896032, -0.04471424135968, -0.07997946906338407, -0.047989948959432066]",2.534323526924405,3.6886775763852224
"(2, 2, 2, -1, 0, nan, 3, -1, 0, 3, 2, 2)","[-0.04, -0.043996, -0.07516160320000001, 1.0, -0.04, 0.0, -0.04750864415968, -1.0, -0.043996, -0.07516160320000001, -0.10481526682899206, -0.22366836124973047]",0.6553990786309125,0.7402543484770708
"(1, 1, 3, -1, 3, nan, 2, -1, 0, 0, 1, 1)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.071968, 0.0, -0.04443508051996, -1.0, -0.0975168256, -0.04, -0.043996, -0.0443952004]",2.0764496472566014,9.517388165164206
"(0, 1, 0, -1, 2, nan, 1, -1, 3, 0, 3, 1)","[-0.04, -0.071968, -0.04, 1.0, -0.043996, 0.0, -0.04, -1.0, -0.07516160320000001, -0.04750864415968, -0.08196490841241627, -0.2054063548032031]",1.63827445177933,2.4772769672979518
"(3, 0, 3, -1, 2, nan, 3, -1, 2, 0, 0, 2)","[-0.04, -0.071968, -0.0471896032, 1.0, -0.04, 0.0, -0.04471424135968, -1.0, -0.043996, -0.0443952004, -0.044466952711832035, -0.17543798860729617]",2.046815363855485,3.824007724669782
"(1, 2, 3, -1, 2, nan, 3, -1, 2, 1, 2, 1)","[-0.04, -0.043996, -0.04, 1.0, -0.04, 0.0, -0.043996, -1.0, -0.04, -0.043996, -0.0795568036, -0.04794772467964]",1.8837796646821914,2.1826798775414167
"(3, 0, 0, -1, 1, nan, 2, -1, 1, 0, 3, 2)","[-0.04, -0.043996, -0.04, 1.0, -0.04, 0.0, -0.043996, -1.0, -0.04, -0.071968, -0.0471896032, -0.17761393087744]",0.6626989846778661,0.7519547891118894
